latitude,longitude,druh_objektu_text,price,floor_size,Podlažie,Počet nadzemných podlaží,Stav nehnuteľnosti,Vlastníctvo,Typ konštrukcie,Rok výstavby,Počet izieb / miestností,Cena vrátane energií,streetAddress,addressRegion,days_since_publication,update_publication_delta,Vybavenie_Verejné parkovanie,Vybavenie_Altánok / posedenie,Vybavenie_Vyhradené parkovanie,Vybavenie_Vonkajší krb,Vybavenie_Pivnica,Vybavenie_Technická miestnosť,Vybavenie_Šatníkové skrine,Vybavenie_Predzáhradka,Vybavenie_Balkón,Vybavenie_Garážové státie,Vybavenie_Vonkajšie parkovacie miesto,Vybavenie_Lodžia,Vybavenie_Sklad,Vybavenie_Výťah,Vybavenie_Špajza,Vybavenie_Tepelná izolácia,room_count,condition_score,is_new,is_renovated
48.3286673,19.6690601,3 izbový byt,99990.0,80.0,3.0,1.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Lučenec,Banskobystrický kraj,110,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.5823009,19.1121926,4 izbový byt,230000.0,102.0,1.0,7.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Zvolen,Banskobystrický kraj,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,1
48.8145702,19.5004853,1 izbový byt,44000.0,40.0,,,Pôvodný stav,Osobné,Panelová,,,Nie,Podbrezová,Banskobystrický kraj,95,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
48.7332466,19.1758938,1 izbový byt,70000.0,28.0,6.0,6.0,Kompletná rekonštrukcia,Osobné,,,,Nie,Banská Bystrica,Banskobystrický kraj,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1
48.574443,19.14027,2 izbový byt,137000.0,62.0,2.0,3.0,Kompletná rekonštrukcia,,Tehlová,1960.0,2.0,Nie,Zvolen,Banskobystrický kraj,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1
48.5785068,19.527121,2 izbový byt,89990.0,64.0,4.0,1.0,Čiastočná rekonštrukcia,Osobné,,,,Nie,Hriňová,Banskobystrický kraj,258,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
48.7301202,19.1199157,3 izbový byt,176900.0,81.57,8.0,8.0,Kompletná rekonštrukcia,Osobné,,,3.0,Nie,Banská Bystrica,Banskobystrický kraj,66,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1
48.8085642,19.5258445,1 izbový byt,51000.0,33.0,2.0,3.0,Kompletná rekonštrukcia,Osobné,Tehlová,1900.0,1.0,Nie,Podbrezová,Banskobystrický kraj,137,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
48.3344136,19.6475499,2 izbový byt,64000.0,55.0,1.0,4.0,Kompletná rekonštrukcia,Osobné,Panelová,,2.0,Nie,Lučenec,Banskobystrický kraj,66,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1
48.7874563,19.6399794,1 izbový byt,70000.0,37.0,,,Kompletná rekonštrukcia,Osobné,Panelová,,,Nie,Brezno,Banskobystrický kraj,446,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
48.719902,19.131527,3 izbový byt,189900.0,72.0,8.0,12.0,Kompletná rekonštrukcia,Osobné,Panelová,1975.0,,Nie,Banská Bystrica,Banskobystrický kraj,67,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,3,0,1
